web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,photo
"1789824661-43","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 5 MINI CLOTURES CLICKFENCE 35X55CM","299,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/m/i/mini-vallas-clickfence-lop-40x40cm-marron-oferta-scaled.jpeg"
"1789824661-44","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 2 CHARNIERES CLICKFENCE 16.5X13.8CM VERT","30,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/i/bisagras-clickfence-verde-scaled.jpeg"
"1789824661-45","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 2 CHARNIERES CLICKFENCE 16.5X13.8CM","30,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/b/i/bisagras-clickfence-blanco-1000x1000.jpeg"
"1789824661-46","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 2 CHARNIERES CLICKFENCE 16.5X13.8CM","30,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/5/1/51_0laapvfl._ac_sl1080_.jpg"
"1789824661-47","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","GAZON ARTIFICIEL CONFORT 30MM (1M²)","195,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/114814.png"
"1789824661-48","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","LOT 2 SACS DE POID A REMPLIR POUR PARASOL 45X45X18 CM","399,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/115310_.jpg"
"1789824670-49","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PARASOL INCLINABLE AVEC MANIVELLE CHAMPAGNE","849,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/115318_.jpg"
"1789824670-50","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","TAPIS SPAGHETTI NOIR 1.20M/METRE LINEAIRE","169,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/115368.jpg"
"1789824670-51","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","TAPIS SPAGHETTI GRIS 1.20M/METRE LINEAIRE","169,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/115369.jpg"
"1789824670-52","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","TAPIS SPAGHETTI ROUGE 1.20M/METRE LINEAIRE","169,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/115371.jpg"
